,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,19,37,-0.32142856568877565,0.061269146541281023,12.646153846153846,0.49148418491484186,5.255055212427475,12.646153846153846,404,819,2.796153846153846,3,7.384615384615385
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,7,3,0.39999996000000404,0.04310344809007134,18.083333333333332,0.5069124423963134,7.436098310291858,18.083333333333332,110,216,2.813397129186603,3,7.125
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,31,46,-0.19480519227525725,0.09948320400583566,11.661290322580646,0.45643153526970953,4.847088743140143,11.661290322580646,330,719,2.5063649222065063,12,6.770514603616133
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,11,24,-0.37142856081632686,0.06317689519282149,13.18918918918919,0.47950819672131145,5.467478954364201,13.18918918918919,234,483,2.6980306345733043,5,7.020703933747412
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,31,54,-0.2705882321107267,0.10705289659061348,13.872727272727273,0.49934469200524245,5.748828785893007,13.872727272727273,381,763,2.696404793608522,3,7.209698558322412
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,24,34,-0.17241379013079672,0.08801213947190874,14.837209302325581,0.47492163009404387,6.124852372967851,14.837209302325581,303,637,2.561014263074485,6,6.819466248037677
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,4,0,0.9999997500000625,0.016129032193028095,26.75,0.5560747663551402,10.922429906542057,26.75,119,214,2.7783018867924527,1,7.429906542056075
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,16,2,0.7777777345679036,0.04035874430412838,12.787878787878787,0.4312796208530806,5.287663363492747,12.787878787878787,182,419,2.548076923076923,3,6.809069212410501
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,32,52,-0.238095235260771,0.1233480174400176,17.194444444444443,0.5105008077544426,7.081978100879555,17.194444444444443,316,619,2.695867768595041,4,7.292407108239095
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,32,24,0.1428571403061225,0.1233480173494537,13.441176470588236,0.35667396061269147,5.5191401724803715,13.441176470588236,163,455,2.3915929203539825,38,6.4131868131868135
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,8,36,-0.6363636219008268,0.05655526985018603,13.39622641509434,0.4943661971830986,5.556237044910976,13.39622641509434,351,710,2.659356725146199,1,7.204225352112676
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,16,29,-0.28888888246913597,0.06302520999576301,12.327272727272728,0.5147492625368731,5.136808795923841,12.327272727272728,349,676,2.6943620178041545,1,7.306213017751479
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,28,51,-0.29113923682102233,0.09962168965999788,13.185185185185185,0.5042134831460674,5.475759467332502,13.185185185185185,359,711,2.67,2,7.222222222222222
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,19,21,-0.04999999875000003,0.06932409000117142,14.947368421052632,0.4876760563380282,6.174017790956264,14.947368421052632,277,567,2.5868794326241136,8,7.017636684303351
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,51,47,0.040816326114119124,0.09551656910768365,12.506493506493506,0.45586708203530635,5.184944235411525,12.506493506493506,439,959,2.5325506937033087,3,6.753910323253389
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,24,39,-0.23809523431594867,0.0582255082641169,13.733333333333333,0.48446601941747575,5.687119741100323,13.733333333333333,499,1030,2.6335078534031413,3,6.78252427184466
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,25,0.03846153772189351,0.09611829926780352,20.964285714285715,0.31175468483816016,8.51041615964955,20.964285714285715,183,587,2.2433392539964476,43,5.9795570698466785
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,39,65,-0.24999999759615388,0.08616404301063459,15.291666666666666,0.48319709355131696,6.309945504087193,15.291666666666666,532,1099,2.613382899628253,8,7.125568698817107
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,36,52,-0.18181817975206616,0.114137483639251,9.3375,0.40562248995983935,3.897248995983936,9.3375,303,738,2.4345479082321186,8,6.453929539295393
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,11,14,-0.11999999520000018,0.07082152954441494,13.695652173913043,0.5174603174603175,5.685244996549344,13.695652173913043,163,315,2.9121621621621623,2,7.568253968253968
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,49,91,-0.2999999978571429,0.08832807565405168,14.494949494949495,0.46062717770034844,5.982230669059938,14.494949494949495,661,1432,2.5051094890510948,7,6.802374301675978
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,37,64,-0.267326730026468,0.1228710460792323,13.059701492537313,0.39085714285714285,5.3802234541577825,13.059701492537313,342,868,2.3602771362586603,35,6.354838709677419
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,36,66,-0.2941176441753172,0.08673469380379702,10.821782178217822,0.4592863677950595,4.512427418405152,10.821782178217822,502,1089,2.5414680648236416,13,6.702479338842975
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,43,78,-0.2892561959565604,0.10458081235559133,13.987654320987655,0.47572815533980584,5.785352990530985,13.987654320987655,539,1131,2.5799457994579944,8,6.882404951370469
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,23,41,-0.2812499956054688,0.08533333321955555,11.913793103448276,0.46599131693198265,4.951913768152103,11.913793103448276,322,688,2.6470588235294117,8,6.813953488372093
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,60,17,0.5584415511890708,0.06265256300841938,16.907692307692308,0.5159235668789809,6.969446349828516,16.907692307692308,567,1097,2.7204100652376515,3,7.240656335460346
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,19,24,-0.11627906706327752,0.0666666665633075,16.714285714285715,0.48376068376068376,6.879218559218559,16.714285714285715,283,584,2.6565836298932384,4,7.008561643835616
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,38,83,-0.37190082337272046,0.1269674710105273,13.65625,0.4805491990846682,5.6547196796338675,13.65625,420,870,2.6666666666666665,7,7.060919540229885
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,11,17,-0.21428570663265334,0.09302325550490613,14.88888888888889,0.5298507462686567,6.167495854063019,14.88888888888889,142,267,2.8045112781954886,3,7.48689138576779
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,8,6,0.14285713265306196,0.03131991044447447,14.464285714285714,0.5037037037037037,5.987195767195767,14.464285714285714,204,405,2.794736842105263,2,7.130864197530864
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,26,57,-0.3734939714036871,0.06781045746093917,20.925925925925927,0.431858407079646,8.54311373320223,20.925925925925927,488,1130,2.7225274725274726,3,7.109734513274336
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,84,32,0.4482758582045185,0.09555189448471836,14.973333333333333,0.4888691006233304,6.184880973582666,14.973333333333333,549,1118,2.6016260162601625,1,7.053667262969588
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,30,22,0.15384615088757403,0.05263157889409759,13.181818181818182,0.48735632183908045,5.467669801462905,13.181818181818182,424,868,2.7081850533807827,7,7.1463133640553
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,29,19,0.20833332899305565,0.0831889080014057,17.733333333333334,0.5845864661654135,7.327167919799499,17.733333333333334,311,532,2.8759541984732824,1,7.573308270676692
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,10,10,0.0,0.053908355649842706,22.071428571428573,0.5469255663430421,9.047341655108646,22.071428571428573,169,308,2.911475409836066,5,7.467532467532467
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,9,7,0.12499999218750048,0.050314465250583446,16.05263157894737,0.419672131147541,6.588921484037964,16.05263157894737,128,304,2.548172757475083,8,6.717105263157895
38,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,3,16,-0.684210490304711,0.054597700992535345,16.944444444444443,0.5508196721311476,6.998105646630236,16.944444444444443,168,305,2.857142857142857,5,7.465573770491804
39,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,7,7,0.0,0.04827586190249703,19.307692307692307,0.4820717131474104,7.915905608335887,19.307692307692307,121,251,2.786610878661088,4,7.0239043824701195
40,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,8,11,-0.15789472853185638,0.07063196999765067,13.105263157894736,0.5783132530120482,5.473430564362714,13.105263157894736,144,249,2.9433198380566803,7,7.570281124497992
41,78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,11,3,0.5714285306122479,0.05204460947195313,12.5,0.49333333333333335,5.197333333333334,12.5,111,225,2.9043062200956937,1,7.217777777777778
42,79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,17,51,-0.49999999264705897,0.0981240979825049,12.596153846153847,0.4580152671755725,5.221667645331768,12.596153846153847,300,655,2.579804560260586,1,6.748091603053435
43,80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,8,20,-0.4285714132653067,0.07142857124635568,18.6,0.47043010752688175,7.628172043010753,18.6,175,369,2.6371191135734073,4,6.967479674796748
44,81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,40,69,-0.2660550434306877,0.09023178800477501,13.19767441860465,0.518942731277533,5.486646859952874,13.19767441860465,589,1134,2.7205479452054795,1,7.056437389770723
45,82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,8,24,-0.49999998437500054,0.06680584537201285,12.61111111111111,0.486784140969163,5.23915810083211,12.61111111111111,221,453,2.640625,2,7.134657836644592
46,83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,14,11,0.11999999520000018,0.04873294337478958,13.756756756756756,0.5068762278978389,5.705453193861839,13.756756756756756,258,506,2.6455445544554457,3,7.397233201581027
47,84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,24,27,-0.05882352825836219,0.07727272715564738,11.175438596491228,0.49921507064364207,4.6698614668539475,11.175438596491228,318,635,2.6703821656050954,10,7.4346456692913385
48,85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,38,12,0.5199999896000003,0.06105006097551885,13.24561403508772,0.5072847682119205,5.501159521319856,13.24561403508772,383,755,2.6815718157181574,2,7.129801324503311
49,86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,29,46,-0.2266666636444445,0.08896797142471177,10.236842105263158,0.5308483290488432,4.307076173724801,10.236842105263158,413,778,2.6653645833333335,3,6.989717223650386
50,87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,32,3,0.8285714048979599,0.07592190872901972,15.068965517241379,0.5789473684210527,6.2591651542649736,15.068965517241379,253,435,2.8983833718244805,1,7.793103448275862
51,88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,36,41,-0.06493506409175241,0.10447761179853784,10.367647058823529,0.48226950354609927,4.339966624947851,10.367647058823529,340,702,2.6271428571428572,9,7.0085470085470085
52,89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,69,31,0.3799999962,0.07535795020696462,15.4125,0.559610705596107,6.388844282238443,15.4125,690,1233,2.810074318744839,2,7.43227899432279
53,90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,60,36,0.24999999739583337,0.10126582267798964,11.972602739726028,0.45537757437070936,4.971192125638695,11.972602739726028,398,869,2.5383720930232556,7,6.74223245109321
54,91,https://insights.blackcoffer.com/human-rights-outlook/,68,37,0.2952380924263039,0.08928571420979105,12.534090909090908,0.5675430643699003,5.240653589384324,12.534090909090908,626,1098,2.7915904936014626,3,7.428051001821494
